Prompt,Correct Answer,Option 0,Option 1,Option 2,Option 3
"The university should fund an expedition to determine whether the Siberian tiger has gone extinct—either individuals remain in Siberia, or they do not.",3,Begging The Question,Black-or-white,False Cause,No Fallacy
"René Descartes asserts that “I think, therefore I am.” Because I have some present experience, I can at least be assured that the experience itself is happening.",3,False Cause,Bandwagon,Begging The Question,No Fallacy
A sizable majority of the population prefers to buy candy with red wrappers. This is evidence that red wrappers may be more enticing to potential buyers.,3,Appeal To Emotion,Fallacy Fallacy,Appeal to Authority,No Fallacy
"Even though the president says that the new enforcement program is a good thing for the nation, we should be skeptical as to their intent.",3,Begging The Question,Loaded Question,Texas Sharpshooter,No Fallacy
Vaccines should receive approval from governmental regulatory bodies if they contain new chemicals that have not been human-tested yet.,3,Appeal to Nature,Appeal To Emotion,Fallacy Fallacy,No Fallacy
"The university educates all graduates on calculus, and therefore it is reasonable to assume its alumni know the fundamentals of algebra.",3,Black-or-white,Middle Ground,Personal Incredulity,No Fallacy
"Even if most people have never seen a shooting star, I witnessed one as a child, and it is entirely possible that a random passerby has as well.",3,Fallacy Fallacy,Anecdotal,Appeal to Nature,No Fallacy
"Sixty-two percent of people report fear upon seeing a spider, which suggests that arachnophobia is fairly common among the populace.",3,Appeal To Emotion,Texas Sharpshooter,Appeal to Nature,No Fallacy
"You have used the No True Scotsman fallacy, which suggests that the point it was included in may be flawed.",3,Loaded Question,Strawman,Fallacy Fallacy,No Fallacy
Just because you don’t understand my point doesn’t mean it isn’t true.,3,False Cause,Personal Incredulity,Loaded Question,No Fallacy
"Though the opposition claims that vaccine mandates are ineffective and do not save lives, we would like to point to the significantly higher death rates among unvaccinated populations.",3,Tu Quoque,Middle Ground,False Cause,No Fallacy
The scientific community should not accept the theory that dark energy causes the expansion of the universe because our instruments cannot yet detect it.,3,Texas Sharpshooter,Middle Ground,Burden of Proof,No Fallacy
"Either the defendant is guilty of the crime at hand, or he is not. The jury will decide this about him.",3,Genetic,Ambiguity,Middle Ground,No Fallacy
"The city council brags that every citizen comes to its meetings, but I don’t come to them and I should still be considered a citizen.",3,No True Scotsman,Personal Incredulity,Special Pleading,No Fallacy
"The rate of fish with some sort of genetic defect is significantly higher in waters contaminated with pesticides, which implies that the waters are causing mutations.",3,Ambiguity,Appeal To Emotion,Genetic,No Fallacy
"Of all the people who took the new medicine, 66% experienced an increase in health compared to the control group. Therefore, the new medicine is likely effective.",3,Genetic,Texas Sharpshooter,False Cause,No Fallacy
"Though there is debate between nationalizing the economy and truly free-market capitalism, there can exist forms of economy that land somewhere in the middle.",3,Middle Ground,Ambiguity,Genetic,No Fallacy
